example_id,pair_id,customer_tweet_id,customer_text_raw,customer_text_clean,prior_context,n_prior_context_turns,brand_reply_raw,provisional_intent,provisional_confidence,sampling_reason,labeling_status,gold_intent,gold_action,gold_escalation_rationale,label_confidence,annotator_notes
GOLD_0000,AmazonHelp_2785941_2785940,2785941,I love the fact that @115821 shows dogs when you don’t have connection https://t.co/jlCrcgP7IY,I love the fact that shows dogs when you don’t have connection [URL],[],0,"@777819 We're sorry to hear of the connection trouble, but our pups tend to make things a little better. For more dogs of Amazon, check out this page: https://t.co/qq2PnEjdf6! If there is anything we can do to help, let us know. ^ST",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,OTHER_UNCLEAR,auto_handle,,,"positive unsolicited mention, no support ask"
GOLD_0001,AmazonHelp_2979666_2979665,2979666,Woooo!! Thanks @115821! https://t.co/EfWGg2upjJ,Woooo!! Thanks ! [URL],[],0,"@821763 🎄""Ahhhh The Holiday Smells!"" 🎄We hope your holidays are a hoot!",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ACKNOWLEDGEMENT_FOLLOWUP,auto_handle,,,"thanks, no ask"
GOLD_0002,AmazonHelp_1251981_1251979,1251981,@AmazonHelp i have to present it on 28th oct.if u can deliver by that day then its ok else cancel#134116563750  urgent delivery required,i have to present it on 28th oct.if u can deliver by that day then its ok else cancel#134116563750 urgent delivery required,[],0,@413685 We can't promise a pre-delivery for the order. Did we miss the estimated delivery date of your order? ^HR,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,auto_handle,,,time-sensitive delivery date request
GOLD_0003,AmazonHelp_2964031_2964030,2964031,@115821 and  @115817 really know how to ship out wonderful packages https://t.co/HPcoEDcDxb,and really know how to ship out wonderful packages [URL],[],0,@817829 I'm so sorry your item arrived in this condition! You can submit feedback directly to the packaging team here: https://t.co/TH7UAFZey5 and the available return and refund or replacement options can be found here: https://t.co/dSkyHlbnco ^SB,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,OTHER_UNCLEAR,auto_handle,,,positive unsolicited comment
GOLD_0004,AmazonHelp_2760881_2760880,2760881,Hey @117795 what happened to my order? #mixedsignals #amazonfail  How can 1 rep say it’s on its way and the 2 say it never was. https://t.co/tPFy6VIcjN,Hey what happened to my order? #mixedsignals #amazonfail How can 1 rep say it’s on its way and the 2 say it never was. [URL],[],0,@716684 I'm so sorry for the trouble. I'd like to have this investigated by our specialists. Please provide us with your contact information here: https://t.co/x8jeZCsTNH. ^LH,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,escalate,insufficient_evidence,,"conflicting info from two reps, needs case review"
GOLD_0005,AmazonHelp_2942105_2942104,2942105,Hi @AmazonHelp I paid 20€ for Premium but non trails about shpment that you confirm arrive before 9 o’clock. My MPhone tells me it’s 14:18.,Hi I paid 20€ for Premium but non trails about shpment that you confirm arrive before 9 o’clock. My MPhone tells me it’s 14:18.,[],0,"@812626 Hello. We are sorry for the inconvenience. Carriers have until 21:00 to deliver a package. Have you contacted the carrier to verify the status of the shipment?
^DB",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,escalate,insufficient_evidence,,"shipment tracking confusion, needs order lookup"
GOLD_0006,AmazonHelp_83372_83373,83372,"@AmazonHelp U people are simply great. I tell u. Slow Claps for u guys. Seriously. How do u ppl manage to provide such shitty customer care service. It must be hell lot of pain. Such efforts. 
12 business hours complete nahi hue aapke? I provided this info on Thursday.",U people are simply great. I tell u. Slow Claps for u guys. Seriously. How do u ppl manage to provide such shitty customer care service. It must be hell lot of pain. Such efforts. 12 business hours complete nahi hue aapke? I provided this info on Thursday.,"[{'tweet_id': 83367, 'author_id': 'AmazonHelp', 'inbound': False, 'text': '@134321 I understand your concern regarding the No cost emi. The interest amount will be offered instantly once you place the order. However, the card issuing bank will continue to charge interest on the transaction. (1/2) ^GD'}
 {'tweet_id': 83368, 'author_id': '134321', 'inbound': True, 'text': '@AmazonHelp See for yourself, I am not getting any discount. As per the image on your T &amp; C page. Discount should be given here only. It means if I opt for a 9 month EMI then  Rs1813 should be discounted from the total bill as that will be the interest charged on EMIs. https://t.co/m0tj7gF96G'}
 {'tweet_id': 83371, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@134321 We'd like to understand this better and assist. Please share your details, here: https://t.co/GIJyeYqKE0. Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public. ^YP""}]",3,@134321 Apologies for any inconvenience you had with us. We have sent a correspondence to your registered email ID. Please respond to the correspondence and we will assist further. ^AH,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,COMPLAINT_SERVICE_QUALITY,escalate,insufficient_evidence,,"SLA breach claim (12 business hours), needs verification"
GOLD_0007,AmazonHelp_2331911_2331910,2331911,"@115821 been on hold for 55 minutes, waiting to be transferred to the US. Is this what you call #customerservice ?","been on hold for 55 minutes, waiting to be transferred to the US. Is this what you call #customerservice ?",[],0,@675001 Oh no! Please be sure to let us know what's advised during the call and if you are able to get in contact with the rep. ^TG,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,COMPLAINT_SERVICE_QUALITY,auto_handle,,,"hold-time complaint, apology + callback offer"
GOLD_0008,AmazonHelp_1113147_1113152,1113147,@AmazonHelp Please message me with a contact person,Please message me with a contact person,"[{'tweet_id': 1113146, 'author_id': '382708', 'inbound': True, 'text': '@115821 What @115821 no customer listening system? I am livid.'}
 {'tweet_id': 1113143, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@382708 I'm sorry for the trouble! We'd like to help. When you reported these experiences to us, what options did we provide?  ^GM""}
 {'tweet_id': 1113144, 'author_id': '382708', 'inbound': True, 'text': '@AmazonHelp Baffles me. I have an old email accts I’ve tried unsuccessfully to eradicate in your records. Your service staff'}]",3,@382708 We'd like to look into this directly. Please provide your details here: https://t.co/cPOg8eZLJu ^BE,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,COMPLAINT_SERVICE_QUALITY,escalate,other,,explicit request for a named human contact
GOLD_0009,AmazonHelp_1143423_1143421,1143423,"@115850 Couldn't lose another day. Had to install it myself. Do better, @115850","Couldn't lose another day. Had to install it myself. Do better,",[],0,@389118 It's never our intention to let you down. I'll ensure to share your comments internally for a review. ^CB,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,COMPLAINT_SERVICE_QUALITY,auto_handle,,,self-install frustration
GOLD_0010,AmazonHelp_287998_287999,287998,@AmazonHelp M doing that every day check ur mails,M doing that every day check ur mails,"[{'tweet_id': 287994, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@184637 Sorry about the delay in pickup. Please reply to the email correspondence which is sent; we'll check and revert accordingly. ^AS""}
 {'tweet_id': 287995, 'author_id': '184637', 'inbound': True, 'text': ""@AmazonHelp What's the purpose of his Twitter handle?? Can U atleast escalate my issue??? Do u need order number or name/I'd something???""}
 {'tweet_id': 287997, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@184637 We'll not be able to securely access your account over Twitter. Please revert to our email correspondence as requested. ^HK""}]",3,"@184637 If you have reverted to the email, our team will get back to you. You can check your inbox here: https://t.co/DTSNmGldJf ^MS",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ACKNOWLEDGEMENT_FOLLOWUP,escalate,other,,"repeat daily contact implied, context-dependent"
GOLD_0011,AmazonHelp_456563_456562,456563,"Dear @115821, your “two day shipping” is a lie.  I shouldn’t have to wait FOUR DAYS https://t.co/svqoGIfobC","Dear , your “two day shipping” is a lie. I shouldn’t have to wait FOUR DAYS [URL]",[],0,"@223419 Hi, are you currently awaiting a delayed order? If so, what was the original estimated delivery date that was provided in your order confirmation email?^PJ",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,PRIME_MEMBERSHIP,auto_handle,,,two-day shipping promise not met
GOLD_0012,AmazonHelp_2122323_2122322,2122323,@115850 We ordered grocery from your pantry and my only concern is use of plastic for packaging. So much plastic? https://t.co/7TtmjM0su3,We ordered grocery from your pantry and my only concern is use of plastic for packaging. So much plastic? [URL],[],0,@625261 Thank you for bringing this to our notice. I have taken your feedback and forwarded it to the concerned team. ^VH,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,OTHER_UNCLEAR,auto_handle,,,"packaging/environmental feedback, not a support ask"
GOLD_0013,AmazonHelp_180509_180508,180509,@AmazonHelp The next line is Ley ending chat. Wtf is this,The next line is Ley ending chat. Wtf is this,"[{'tweet_id': 180511, 'author_id': '158445', 'inbound': True, 'text': '@AmazonHelp hey. I ordered battlefront 2 for ps4 a long time ago. Never received a beta key.Just got ""hung up"" on chat after asking about it'}
 {'tweet_id': 180510, 'author_id': '158445', 'inbound': True, 'text': '@AmazonHelp  https://t.co/hlLW4nKbZb'}]",2,@158445 Apologizes for the misunderstanding- When you spoke to Yineeta what was advised with regards your order? ^NV,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,COMPLAINT_SERVICE_QUALITY,auto_handle,,,chat tool bug/confusion
